,age,job,marital,education,balance,contact,day,month,duration,campaign,previous,poutcome,housing_new,loan_new,y
0,58,4,1,2,2143,2,5,8,261,1,0,3,1,0,0
1,44,9,2,1,29,2,5,8,151,1,0,3,1,0,0
2,33,2,1,1,2,2,5,8,76,1,0,3,1,1,0
3,47,1,1,3,1506,2,5,8,92,1,0,3,1,0,0
4,33,11,2,3,1,2,5,8,198,1,0,3,0,0,0
5,35,4,1,2,231,2,5,8,139,1,0,3,1,0,0
6,28,4,2,2,447,2,5,8,217,1,0,3,1,1,0
7,42,2,0,2,2,2,5,8,380,1,0,3,1,0,0
8,58,5,1,0,121,2,5,8,50,1,0,3,1,0,0
9,43,9,2,1,593,2,5,8,55,1,0,3,1,0,0
10,41,0,0,1,270,2,5,8,222,1,0,3,1,0,0
11,29,0,2,1,390,2,5,8,137,1,0,3,1,0,0
12,53,9,1,1,6,2,5,8,517,1,0,3,1,0,0
13,58,9,1,3,71,2,5,8,71,1,0,3,1,0,0
14,57,7,1,1,162,2,5,8,174,1,0,3,1,0,0
15,51,5,1,0,229,2,5,8,353,1,0,3,1,0,0
16,45,0,2,3,13,2,5,8,98,1,0,3,1,0,0
17,57,1,1,0,52,2,5,8,38,1,0,3,1,0,0
18,60,5,1,0,60,2,5,8,219,1,0,3,1,0,0
19,33,7,1,1,0,2,5,8,54,1,0,3,1,0,0
20,28,1,1,1,723,2,5,8,262,1,0,3,1,1,0
21,56,4,1,2,779,2,5,8,164,1,0,3,1,0,0
22,32,1,2,0,23,2,5,8,160,1,0,3,1,1,0
23,25,7,1,1,50,2,5,8,342,1,0,3,1,0,0
24,40,5,1,0,0,2,5,8,181,1,0,3,1,1,0
25,44,0,1,1,-372,2,5,8,172,1,0,3,1,0,0
26,39,4,2,2,255,2,5,8,296,1,0,3,1,0,0
27,52,2,1,1,113,2,5,8,127,1,0,3,1,1,0
28,46,4,2,1,-246,2,5,8,255,2,0,3,1,0,0
29,36,9,2,1,265,2,5,8,348,1,0,3,1,1,0
30,57,9,1,1,839,2,5,8,225,1,0,3,0,1,0
31,49,4,1,2,378,2,5,8,230,1,0,3,1,0,0
32,60,0,1,1,39,2,5,8,208,1,0,3,1,1,0
33,59,1,1,1,0,2,5,8,226,1,0,3,1,0,0
34,51,4,1,2,10635,2,5,8,336,1,0,3,1,0,0
35,57,9,0,1,63,2,5,8,242,1,0,3,1,0,0
36,25,1,1,1,-7,2,5,8,365,1,0,3,1,0,0
37,53,9,1,1,-3,2,5,8,1666,1,0,3,0,0,0
38,36,0,0,1,506,2,5,8,577,1,0,3,1,0,0
39,37,0,2,1,0,2,5,8,137,1,0,3,1,0,0
40,44,7,0,1,2586,2,5,8,160,1,0,3,1,0,0
41,50,4,1,1,49,2,5,8,180,2,0,3,1,0,0
42,60,1,1,3,104,2,5,8,22,1,0,3,1,0,0
43,54,5,1,1,529,2,5,8,1492,1,0,3,1,0,0
44,58,5,1,3,96,2,5,8,616,1,0,3,1,0,0
45,36,0,2,0,-171,2,5,8,242,1,0,3,1,0,0
46,58,6,1,2,-364,2,5,8,355,1,0,3,1,0,0
47,44,9,1,1,0,2,5,8,225,2,0,3,1,0,0
48,55,9,0,1,0,2,5,8,160,1,0,3,0,0,0
49,29,4,2,2,0,2,5,8,363,1,0,3,1,0,0
50,54,1,1,1,1291,2,5,8,266,1,0,3,1,0,0
51,48,4,0,2,-244,2,5,8,253,1,0,3,1,0,0
52,32,4,1,2,0,2,5,8,179,1,0,3,1,0,0
53,42,0,2,1,-76,2,5,8,787,1,0,3,1,0,0
54,24,9,2,1,-103,2,5,8,145,1,0,3,1,1,0
55,38,2,2,2,243,2,5,8,174,1,0,3,0,1,0
56,38,4,2,2,424,2,5,8,104,1,0,3,1,0,0
57,47,1,1,3,306,2,5,8,13,1,0,3,1,0,0
58,40,1,2,3,24,2,5,8,185,1,0,3,1,0,0
59,46,7,1,0,179,2,5,8,1778,1,0,3,1,0,0
60,32,0,1,2,0,2,5,8,138,1,0,3,1,0,0
61,53,9,0,1,989,2,5,8,812,1,0,3,1,0,0
62,57,1,1,0,249,2,5,8,164,1,0,3,1,0,0
63,33,7,1,1,790,2,5,8,391,1,0,3,1,0,0
64,49,1,1,3,154,2,5,8,357,1,0,3,1,0,0
65,51,4,1,2,6530,2,5,8,91,1,0,3,1,0,0
66,60,5,1,2,100,2,5,8,528,1,0,3,0,0,0
67,59,4,0,2,59,2,5,8,273,1,0,3,1,0,0
68,55,9,1,1,1205,2,5,8,158,2,0,3,1,0,0
69,35,1,2,1,12223,2,5,8,177,1,0,3,1,1,0
70,57,1,1,1,5935,2,5,8,258,1,0,3,1,1,0
71,31,7,1,1,25,2,5,8,172,1,0,3,1,1,0
72,54,4,1,1,282,2,5,8,154,1,0,3,1,1,0
73,55,1,1,0,23,2,5,8,291,1,0,3,1,0,0
74,43,9,1,1,1937,2,5,8,181,1,0,3,1,0,0
75,53,9,1,1,384,2,5,8,176,1,0,3,1,0,0
76,44,1,1,1,582,2,5,8,211,1,0,3,0,1,0
77,55,7,0,1,91,2,5,8,349,1,0,3,0,0,0
